-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      b12x::engram_hash         0.38%       4.821ms         0.43%       5.372ms     134.289us     251.520us         0.02%     252.288us       6.307us            40  
                                     record_param_comms         0.17%       2.144ms         0.20%       2.551ms     127.548us     250.050us         0.02%     250.050us      12.503us            20  
ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     250.050us         0.02%     250.050us      12.503us            20  
                                         nccl:broadcast         0.00%       0.000us         0.00%       0.000us       0.000us     250.050us         0.02%     250.050us      12.503us            20  
kernel_cutlass_kernel_b12xattentionmla_compress_cute...         0.00%       0.000us         0.00%       0.000us       0.000us     222.177us         0.02%     222.177us      11.109us            20  
                            b12x::bf16_gemv_small_n_out         0.03%     422.960us         0.04%     510.032us      72.862us     222.016us         0.02%     255.776us      36.539us             7  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     219.776us         0.02%     219.776us       1.847us           119  
kernel_cutlass_kernel_b12xnormmhc_kernelsMHCPostPreP...         0.00%       0.000us         0.00%       0.000us       0.000us     219.457us         0.02%     219.457us       5.486us            40  
                  b12x::hyperconnection_grouped_rmsnorm         0.36%       4.468ms         0.39%       4.891ms      57.536us     207.201us         0.02%     207.201us       2.438us            85  
                                Activity Buffer Request         0.56%       7.068ms         0.68%       8.596ms       1.433ms     206.880us         0.02%       2.289ms     381.548us             6  
                                        _partial_argmax         0.00%       0.000us         0.00%       0.000us       0.000us     181.568us         0.02%     181.568us       3.026us            60  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     164.449us         0.02%     164.449us       1.166us           141  
void vllm::vocab_embedding::vocab_parallel_embedding...         0.00%       0.000us         0.00%       0.000us       0.000us     160.416us         0.02%     160.416us       4.010us            40  
                          _prepare_dflash_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     159.040us         0.02%     159.040us       2.651us            60  
                                 aten::_index_put_impl_         0.02%     307.376us         0.05%     594.208us      14.855us     151.424us         0.01%     151.424us       3.786us            40  
                                    b12x::engram_lookup         0.36%       4.499ms         0.42%       5.220ms     130.489us     142.656us         0.01%     142.656us       3.566us            40  
                                                _lookup         0.00%       0.000us         0.00%       0.000us       0.000us     142.656us         0.01%     142.656us       3.566us            40  
                                                  _hash         0.00%       0.000us         0.00%       0.000us       0.000us     139.712us         0.01%     139.712us       3.493us            40  
kernel_cutlass_kernel_b12xattentioncompressed_sparse...         0.00%       0.000us         0.00%       0.000us       0.000us     136.128us         0.01%     136.128us       0.851us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     125.216us         0.01%     125.216us       1.565us            80  
                                    _load_partial_state         0.00%       0.000us         0.00%       0.000us       0.000us     124.640us         0.01%     124.640us       2.077us            60  
                                              aten::add         0.05%     665.474us         0.09%       1.148ms      11.716us     121.633us         0.01%     121.633us       1.241us            98  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     119.520us         0.01%     119.520us       3.065us            39  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.257s
Self CUDA time total: 1.055s

